Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,47.917481,-26.483037,90,bottom
C2,22p,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,38.923481,-26.409037,270,bottom
C3,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,35.357994,-25.657608,180,bottom
C4,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,35.910219,-41.852769,180,bottom
C5,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,39.720219,-46.932769,180,bottom
C6,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,53.690219,-33.470769,90,bottom
C7,4.7u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,49.276,-46.609,270,bottom
C8,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,33.624219,-37.280769,90,bottom
R1,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,35.357994,-27.562608,0,bottom
R2,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,52.197,-43.434,90,bottom
R3,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,31.17,-42.78,270,bottom
R4,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,29.15,-40.64,270,bottom
R_CC1,5.1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,81.47212,-26.65098,0,bottom
R_CC2,5.1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,96.21212,-26.84098,180,bottom
SW1,SW_PUSH,SW_SPST_TL3342,30.353,-30.861,90,bottom
U1,ATMEGA32U4,TQPF-44_10x10mm_P0.8mm,44.641469,-38.042769,0,bottom
USB_1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,88.519,-16.129,0,bottom
U_ESD_1,USBLC6-2SC6,SOT-23-6,88.46312,-28.829,270,bottom
X1,Crystal_GND24_Small,Crystal_SMD_5032-4Pin-HandSolder,43.463731,-26.345537,0,bottom
DA1,D,Diode-dual,82.55,-86.51875,0,bottom
DB1,D,Diode-dual,159.54375,-105.56875,0,bottom
DC1,D,Diode-dual,121.44375,-97.94875,0,bottom
DE1,D,Diode-dual,121.793,-59.817,0,bottom
DF1,D,Diode-dual,140.49375,-82.70875,0,bottom
DG1,D,Diode-dual,159.54375,-86.51875,0,bottom
DQ1,D,Diode-dual,83.34375,-67.46875,0,bottom
DR1,D,Diode-dual,141.2875,-63.65875,0,bottom
DS1,D,Diode-dual,102.39375,-82.70875,0,bottom
DT1,D,Diode-dual,158.4325,-66.675,0,bottom
DV1,D,Diode-dual,140.49375,-101.75875,0,bottom
DW1,D,Diode-dual,102.39375,-63.65875,0,bottom
DX1,D,Diode-dual,102.39375,-101.75875,0,bottom
DZ1,D,Diode-dual,82.55,-105.56875,0,bottom
D_1,D,Diode-dual,83.34375,-48.41875,0,bottom
D_2,D,Diode-dual,102.39375,-44.60875,0,bottom
D_3,D,Diode-dual,122.2375,-40.79875,0,bottom
D_4,D,Diode-dual,140.49375,-44.60875,0,bottom
D_5,D,Diode-dual,159.54375,-48.41875,0,bottom
D_ALT1,D,Diode-dual,93.6625,-115.09375,90,bottom
D_Bpt_1U_1,D,Diode-dual,131.572,-107.696,90,bottom
D_CAP1,D,Diode-dual,73.025,-76.99375,90,bottom
D_CTRL1,D,Diode-dual,74.6125,-115.09375,90,bottom
D_D1,D,Diode-dual,121.44375,-78.89875,0,bottom
D_ESC1,D,Diode-dual,64.29375,-48.41875,0,bottom
D_SHIFT_1,D,Diode-dual,73.025,-96.04375,90,bottom
D_TH1_1,D,Diode-dual,187.934848,-134.5756,335,bottom
D_TH1_2,D,Diode-dual,186.685079,-137.075053,335,bottom
D_TH1_3,D,Diode-dual,183.837475,-123.743583,65,bottom
D_WIN1,D,Diode-dual,112.7125,-112.0775,90,bottom
D_bot_1U_2,D,Diode-dual,151.13,-112.014,90,bottom
D_tAB1,D,Diode-dual,60.325,-67.46875,0,bottom
D_th_2U1,D,Diode-dual,160.502848,-122.3836,65,bottom
