Id,Designator,Package,Quantity,Designation,LCSC Part #?optional?
1,"C1,C2",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,22p,C1804
2,"C3,C4,C5,C6",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4,0.1u,C49678
3,C7,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,4.7u,C1779
4,C8,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1u,C28323
5,"D_1,D_2,D_3,D_4,D_5,D_ALT1,D_bot_1U_2,D_Bpt_1U_1,D_CAP1,D_CTRL1,D_D1,D_ESC1,D_SHIFT_1,D_tAB1,D_TH1_1,D_TH1_2,D_th_2U1,D_WIN1,DA1,DB1,DC1,DE1,DF1,DG1,DQ1,DR1,DS1,DT1,DV1,DW1,DX1,DZ1,D_TH1_3",Diode-dual,33,D,C109001
6,"R1,R2",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,10k,C17414
7,"R3,R4",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,22,C17561
8,"R_CC1,R_CC2",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,5.1k,C27834
9,SW1,SW_SPST_TL3342,1,SW_PUSH,
10,U1,TQPF-44_10x10mm_P0.8mm,1,ATMEGA32U4,C44854
11,U_ESD_1,SOT-23-6,1,USBLC6-2SC6,C7519
12,USB_1,HRO-TYPE-C-31-M-12,1,HRO-TYPE-C-31-M-12,
13,X1,Crystal_SMD_5032-4Pin-HandSolder,1,Crystal_GND24_Small,C112586
14,"J1,J2",TRRS-PJ-320D_PAD,2,AudioJack4,
